object,Latitude,Longitude,Porbiculare
1135458687,48.09972,15.91444,1
1135458679,49.23611,20.21639,1
1135458675,47.60361,15.08889,1
1135458674,48.88167,19.04,1
1135458673,47.56833,14.63167,1
1135458667,46.09194,13.83056,1
1135458664,44.39861,3.60639,1
1135458642,47.44694,25.56167,1
1135458630,46.46722,22.84194,1
1135458615,43.865,3.31889,1
1135458536,45.3625,25.43194,1
1135458460,46.37583,13.45917,1
1135458449,47.27556,13.44583,1
1135458435,46.94917,13.00611,1
1135458394,46.44639,23.5875,1
1135458385,47.905,15.68444,1
1135458375,42.40889,1.75806,1
1135458311,50.055,17.23639,1
1135458364,46.76056,12.88972,1
1135458358,44.22278,6.90556,1
1135458352,40.81944,0.35694,1
1135458347,47.69111,15.62806,1
1135458346,48.37361,15.68972,1
1135458328,47.70611,14.07361,1
1135458326,46.38028,12.48694,1
1135458321,45.83917,10.69417,1
1135458288,48.12472,16.93306,1
1135458283,45.92194,9.37667,1
1135458263,45.94111,9.8025,1
1135455458,42.45667,13.56083,1
1135455410,46.96667,12.26667,1
1135455377,46.65,12.56667,1
1135455371,47.01667,13.1,1
1135452048,47.925,15.79167,1
1099896576,47.038333,8.505,1
1099058983,47.795559,11.296091,1
1099058922,47.599998,10.783334,1
1086701317,50.395279,6.533333,1
1086701316,43.717499,6.474722,1
1057605140,50.952361,0.221594,1
1055571917,51.268943,-0.371775,1
1054788897,46.8689,2.49,1
1053986450,42.9,-1.21,1
1053984736,42.66,-1.18,1
1053984778,42.67,-1.05,1
1053984771,42.66,-1.15,1
1053983456,42.62,-1.15,1
1053982519,42.57,-1.63,1
1053982267,42.96,-0.92,1
1053981996,43.02,0.34,1
1053981685,42.76,-1.77,1
1050628990,41.79,-1.77,1
1050619603,42.8,-2.27,1
1050597758,42.92,-0.75,1
1050597796,42.71,-3.38,1
1050597790,42.83,-3.22,1
1050597785,42.88,-2.24,1
1050597782,42.68,-3.18,1
1050597779,42.98,-0.99,1
1050597773,42.61,-2.53,1
1050597769,42.95,-0.87,1
1050597768,43.04,-3.12,1
1050597767,42.16,-2.13,1
1050597766,43.01,-2.03,1
204433324,42.762001,-2.591,1
1050597763,42.88,-0.7,1
767275126,42.7558,-0.208424,1
1038235114,49.089165,8.56,1
1019747730,44.93333,6.73333,1
1019747723,49.06667,1.53333,1
911794757,51.254166,10.048334,1
910482717,42.7,0.99,1
895244114,40.67,-0.57,1
895303821,40.76,0.33,1
895302410,39.5,-0.85,1
895145775,40.04,-2.04,1
895290494,41.42,-2.94,1
895262202,40.24,-1.53,1
895286783,40.42,-1.7,1
318118116,40.66,-2.02,1
895285253,40.49,-0.46,1
895284463,43.11,-5.27,1
895280368,40.51,-1.88,1
895278027,40.4,-0.58,1
895277848,40.5,-0.42,1
895275290,40.97,-3.06,1
895272747,43.12,-1.96,1
895269197,40.84,0.21,1
895268401,40.05,-1.07,1
895267833,41.24,-3.06,1
895266047,40.58,-0.58,1
895262022,40.42,-1.76,1
895259478,40.33,-1.65,1
895255427,42.13,-1.97,1
895241445,40.51,-2.11,1
895254583,40.52,2.00E-05,1
895253951,41.33,-2.82,1
895253923,38.44,-2.48,1
895253206,41.51,-2.94,1
895252921,42.64,-0.01,1
895252241,42.73,-0.25,1
895241446,40.42,-1.88,1
895236007,40.49,-0.58,1
895228623,40.39,-1.79,1
895202132,42.38,-0.63,1
895177195,40.57,0.11,1
895177153,40.69,0.08,1
895176972,40.39,-2.07,1
895165388,40.07,-2.05,1
895159960,43.03,-5.93,1
30887039,38.5,-2.42,1
895142108,41.96,-2.34,1
895140284,40.06,-2,1
833456061,50.2,6.416666,1
812029157,46.524733,12.017217,1
812029145,50.565367,9.18395,1
812029144,50.5363,9.355017,1
812029142,50.666883,9.15875,1
812029140,50.650267,9.1705,1
812029139,50.638967,9.153533,1
812029127,50.573883,9.6418,1
812029119,50.583083,9.84745,1
812029118,50.6935,9.1792,1
812029117,50.679317,9.76705,1
812029101,50.571817,10.003067,1
812029100,50.529083,9.88855,1
812029098,50.713333,9.948983,1
812029097,50.69415,9.944633,1
767274934,42.945661,-0.764608,1
767274210,42.710605,-1.321924,1
767267762,42.890985,-1.885915,1
767265515,42.869395,-1.605974,1
767265513,43.066252,-1.564405,1
767259601,42.641,-0.298,1
767258944,42.522,-1.083,1
767250334,42.792888,-1.960162,1
767250300,41.969895,-2.280615,1
699147046,46.0568,10.513817,1
442062143,52.123055,11.636666,1
437623681,42.9,0.06667,1
438955887,42.95,-0.43333,1
438622189,46.25,5.66667,1
438622167,48.43611,2.705,1
438289398,46.85278,2.42056,1
437977920,46.96889,0.19556,1
437623657,42.75722,-0.04944,1
437623629,44.41667,6.9,1
437291134,42.96667,-0.38333,1
335229650,48.497935,7.774309,1
335229613,48.549427,7.776221,1
137480758,40.380001,-0.61,1
318118150,40.32,-1.86,1
318118097,40.39,-0.63,1
317870428,50.476944,9.1575,1
296517329,46.665833,11.775,1
296517327,46.238611,11.215,1
296517316,46.615556,11.46,1
296517313,46.622778,10.707222,1
296517287,46.229722,11.195833,1
296517283,46.534722,11.466944,1
296517280,46.741667,11.611111,1
296517213,47.577,13.132,1
296517201,46.733,12.647,1
296517200,46.745556,12.606389,1
214393567,42.869999,-5.82,1
85324033,43.049999,-6.3,1
211634432,43.049999,-6,1
211634208,43.040001,-6.14,1
211634169,43.279999,-6.03,1
85321999,43.240002,-6.09,1
85321804,43.130001,-5.36,1
85321790,43.18,-5.93,1
211634090,43.259998,-5.94,1
85320957,43.209999,-4.71,1
211633715,43.200001,-4.74,1
85320949,43.18,-4.87,1
211633711,43.209999,-4.69,1
211633710,43.139999,-4.84,1
85320932,43.200001,-4.69,1
85320930,43.23,-4.98,1
204433707,42.966999,-0.774,1
204433659,42.68,-2.33,1
204433658,42.66,-1.11,1
204433367,42.712002,-1.846,1
204433366,42.634998,-2.36,1
204433365,43.009998,-6.36,1
204433359,42.500999,-1.509,1
204433363,42.564999,-1.52,1
204433362,42.780998,-0.965,1
204433360,42.647999,-1.713,1
204433358,42.870998,-1.574,1
204433356,42.653999,-1.444,1
204433355,42.716,-1.431,1
204433350,42.974998,-2.013,1
204433349,42.451,-1.133,1
204433326,43.002998,-2.061,1
204433325,42.977001,-2.344,1
137522719,42.985679,-6.004402,1
137522377,42.869635,-0.702463,1
30884313,38.51,-2.51,1
30884312,43.14,-2.74,1
30883783,42.77,-0.35,1
30884307,42.64,-0.13,1
30884305,41.06,-3.53,1
30883781,43.2,-4.78,1
14527144,47.7912,2.48186,1
14526911,47.7329,3.66289,1
14526910,47.6723,3.58715,1
14526909,47.6927,3.63402,1
14526907,47.5882,3.69195,1
14526906,47.5839,3.59931,1
14526548,47.3855,3.11187,1
14526298,47.8808,2.76513,1
